price_earnings,price_book,price_sales,valuation_z__scaled,earnings_share,dividend_yield,ebitda,ebitda_log__scaled,profitability_ratio__scaled,market_cap,price,52w_range__scaled,price_to_52w_high__scaled,market_cap_log__scaled,dividend_flag__scaled
12.29,3.03,0.408193438,-0.644854818,4.04,2.8394227,1913000000,0.108604461,0.245821221,20493281175,66.63,-0.478036687,0.062079663,-0.034254297,0
19.44,3.55,0.6913859,-0.332983421,3.97,0,1339628000,-0.119394421,0.553929893,11827453706,64.34,-0.043056548,-0.075684347,-0.468712158,-1
17.48,2,2.8147783,-0.294088439,3.58,2.6041667,4711000000,0.685337494,0.283617654,49180044050,66.76,0.38056966,0.063586954,0.657647927,0
21.22,5.75,2.0468428,0.065533266,1.26,2.0215108,8136000000,1.035000634,0.172470544,91822049046,145.99,-1.441821099,1.676766127,1.151140865,0
35.06,5.15,8.249042,1.16118189,2.27,0.9426963,488406000,-0.765095698,-0.616984251,12998295607,111.15,-1.185966689,0.99432343,-0.394103209,0
15.82,3.74,1.4622321,-0.35012787,1.69,0,1652961000,0.015106126,0.572524989,14440591731,41.92,-0.406939163,0.707105676,-0.310934278,-1
12.05,6.91,2.1055017,-0.130635153,2.81,1.3473054,2841000000,0.361690775,0.952844276,20431395736,51.8,0.376283196,-0.901810885,-0.036644728,0
13.27,7.49,5.830071,0.374290348,3.58,0,5233000000,0.752585462,-0.117735197,74921079154,91.02,-0.580830914,-0.908723781,0.990361489,-1
19.12,2.58,0.5028663,-0.447794966,3.23,0,2063000000,0.156912725,0.573535447,18012494506,100.36,-0.993483666,1.381016003,-0.13623975,-1
19.73,3.21,1.6262617,-0.248461476,1,4.2109256,2337000000,0.236717817,1.983669955,11362043297,25.85,1.046764804,-0.774359184,-0.500442577,0
8.35,1.39,1.4795984,-0.796146197,1.16,6.323142972,5577000000,0.793328161,3.532500409,18237196861,16.2,-1.794289766,0.110556463,-0.126440754,0
27.09,4.62,5.5560412,0.552964488,1.84,0,1523440000,-0.037111379,-0.081407026,21101697598,61.22,-0.084081975,-0.038483074,-0.011130257,-1
-53.6096,2.81,3.0044448,-2.546782899,-1.2,3.0395136,711000000,-0.524781347,-0.003886466,9209106695,37.46,-1.065129975,1.188720231,-0.666492479,0
29.82,4.51,7.949615,0.900161508,1.61,0.76878726,0,-13.56818948,-1.198261177,69750188843,48.9,-0.347001604,0.456344051,0.933836459,0
162.92,2.27,2.1208634,4.445974048,23.6712,0,14694000000,1.413296127,1.423330029,86708878113,348.65,0.388502622,-0.296273108,1.105854407,-1
4.7,1.84,0.408193438,-0.997192582,-6.44,0,1470000000,-0.059962758,4.177333016,4230379821,12.8328,-0.64777634,0.042100079,-1.28133953,-1
27.52,1.71,1.6489863,-0.11790074,4.85,3.885853,28877000000,1.845644673,0.841777797,2.18979E+11,112.3,0.481984127,-0.441887693,1.838088683,0
45.86,6.11,2.5523853,0.964970065,0.8,0,401293000,-0.890815562,-0.390486623,7685283970,266.01,-1.397909965,-0.782018424,-0.809463013,-1
17.5,1.35,2.0985637,-0.429010962,8.2,1.9251627,0,-13.56818948,-1.198261177,68424670566,140.39,0.957930516,-0.50924976,0.918671448,0
24.42,6.28,3.1682448,0.341436081,2.92,1.8366054,868000000,-0.397100644,-0.064048366,11838963451,47.38,0.730169204,-0.43607235,-0.467943371,0
18.11,3.39,1.550762,-0.294822291,7.2,0.020466639,0,-13.56818948,-1.198261177,47680910480,189.27,-0.628185086,0.527979527,0.633179898,0
26.37,4.28,7.556446,0.722895603,-4.64,0.30214334,1061056000,-0.268582309,0.42869238,10089082025,100.19,-0.37929164,-0.342282007,-0.594360484,0
